DESCRIPCIÓN PRINCIPIO ACTIV,PRESENTACION,Fabricante,PRECIO MÁXIMO DE VENTA TRANSACCIÓN FINAL COMERCIAL
ADENOSIN,LIQUIDO/SOLIDO,PROCLIN,NO REGULADO
ADENOSIN,LIQUIDO/SOLIDO,KNOVEL PHARMA,NO REGULADO
AGOMELATIN,SOLIDO,SCANDINAVIA PHARMA,NO REGULADO
ALFA,LIQUIDO/SOLIDO,CSL,NO REGULADO
ALFA,LIQUIDO/SOLIDO,UNO HEALTHCARE,NO REGULADO
ALFA,LIQUIDO/SOLIDO,GRIFOLS THERAPEUTICS,NO REGULADO
AMINOÁCIDO,SOLIDO,RPG LIFE SCIENCES,NO REGULADO
ANTIGENOS DE NEUMOCOCO DE POLISACÁRIDOS PURIFICADO,LIQUIDO/SOLIDO,MERCK SHARP DOME,NO REGULADO
APREPITAN,LIQUIDO/SOLIDO,MSN LABORATORIES PRIVATE,NO REGULADO
APREPITAN,SOLIDO,LAFRANCOL,NO REGULADO
ATOSIBA,LIQUIDO/SOLIDO,EVER PHARMA,NO REGULADO
BACLOFEN,SOLIDO,VANTAGE GLOBAL,NO REGULADO
BACLOFEN,SOLIDO,THE LABS,NO REGULADO
BRIVARACETA,SOLIDO,MONTE VERDE,NO REGULADO
CARMUSTIN,LIQUIDO/SOLIDO,KEMEX,NO REGULADO
CARMUSTIN,LIQUIDO/SOLIDO,BLAU,NO REGULADO
CARMUSTIN,LIQUIDO/SOLIDO,EMCURE,NO REGULADO
CEFTAZIDIMA + AVIBACTA,LIQUIDO/SOLIDO,PFIZER,NO REGULADO
DARUNAVIR + COBICISTA,SOLIDO,JANSSEN,NO REGULADO
DENOSUMA,LIQUIDO/SOLIDO,AMGEN,NO REGULADO
DEXAMETASON,SOLIDO,ALLERGAN,NO REGULADO
DIAZOXID,LIQUIDO,LIMINAL,NO REGULADO
DIOSMINA + HESPERIDIN,SOLIDO,LAFRANCOL,NO REGULADO
DIOSMINA + HESPERIDIN,SOLIDO,MONTE VERDE,NO REGULADO
DIOSMINA + HESPERIDIN,SOLIDO,HEALTHY AMERICA,NO REGULADO
DIOSMINA + HESPERIDIN,SOLIDO,KERN PHARMA,NO REGULADO
DIOSMINA + HESPERIDIN,SOLIDO,SCANDINAVIA PHARMA,NO REGULADO
DIOSMINA + HESPERIDIN,SOLIDO,SANOFI AVENTIS,NO REGULADO
EMTRICITABINA + RILPIVIRINA + TENOFOVIR ALAFENAMID,SOLIDO,GILEAD,NO REGULADO
EMTRICITABINA + TENOFOVIR DISOPROXIL + EFAVIREN,SOLIDO,VANTAGE GLOBAL,NO REGULADO
EMTRICITABINA + TENOFOVIR DISOPROXIL + EFAVIREN,SOLIDO,THE LABS,NO REGULADO
EMTRICITABINA + TENOFOVIR DISOPROXIL + EFAVIREN,SOLIDO,SALUSPHARMA,NO REGULADO
EMTRICITABINA + TENOFOVIR DISOPROXIL + EFAVIREN,SOLIDO,HUMAX,NO REGULADO
EMTRICITABINA + TENOFOVIR DISOPROXIL + EFAVIREN,SOLIDO,RICHMOND,NO REGULADO
EMTRICITABINA + TENOFOVIR DISOPROXIL + EFAVIREN,SOLIDO,CLINICOS Y HOSPITALARIOS,NO REGULADO
EMTRICITABINA + TENOFOVIR DISOPROXIL + EFAVIREN,SOLIDO,CIPLA,NO REGULADO
EMTRICITABINA + TENOFOVIR DISOPROXIL + EFAVIREN,SOLIDO,MYLAN,NO REGULADO
EMTRICITABINA + TENOFOVIR DISOPROXIL + EFAVIREN,SOLIDO,AUROBINDO,NO REGULADO
EMTRICITABINA + TENOFOVIR DISOPROXIL + EFAVIREN,SOLIDO,HETERO,NO REGULADO
EMTRICITABINA + TENOFOVIR DISOPROXIL + EFAVIREN,SOLIDO,GILEAD,NO REGULADO
ENOXAPARIN,LIQUIDO/SOLIDO,ROVI PHARMA,NO REGULADO
ENOXAPARIN,LIQUIDO/SOLIDO,PROCLIN,NO REGULADO
ENOXAPARIN,LIQUIDO/SOLIDO,BLAU,NO REGULADO
ENOXAPARIN,LIQUIDO/SOLIDO,CHALVER,NO REGULADO
ETIL ÉSTERES DE ÁCIDOS GRASO YODADO,LIQUIDO/SOLIDO,GUERBET,NO REGULADO
FLUMAZENI,LIQUIDO/SOLIDO,CHEPLAPHARM,NO REGULADO
FLUMAZENI,LIQUIDO/SOLIDO,ADS PHARMA,NO REGULADO
FOLITROPIN ALF,LIQUIDO/SOLIDO,GEDEON RICHTER,NO REGULADO
FOLITROPIN ALF,LIQUIDO/SOLIDO,LAFRANCOL,NO REGULADO
FOSAMPRENAVI,SOLIDO,GLAXOSMITHKLINE,NO REGULADO
FOSFOLÍPIDOS NATURALE,LIQUIDO/SOLIDO,BLES BIOCHEMICALS,NO REGULADO
FOSFOLÍPIDOS NATURALE,LIQUIDO/SOLIDO,ONY,NO REGULADO
FOSFOMICIN,SOLIDO,NOVAMED,NO REGULADO
FOSFOMICIN,SOLIDO,LAFRANCOL,NO REGULADO
FOSFOMICIN,SOLIDO,CLOSTER PHARMA,NO REGULADO
FOSFOMICIN,SOLIDO,FAES FARMA,NO REGULADO
FOSFOMICIN,SOLIDO,GLOBAL MARKETING FARMACEUTICA,NO REGULADO
FOSFOMICIN,SOLIDO,NEVOX,NO REGULADO
GLUCOSAMINA EN COMBINACIONE,SOLIDO,STOCK,NO REGULADO
GLUCOSAMINA EN COMBINACIONE,SOLIDO,HEALTHY AMERICA,NO REGULADO
GLUCOSAMINA EN COMBINACIONE,SOLIDO,MARIA VICTORIA ZAPATA CADAVID,NO REGULADO
GLUCOSAMINA EN COMBINACIONE,SOLIDO,NATURAL SYSTEMS,NO REGULADO
GLUCOSAMINA EN COMBINACIONE,SOLIDO,BIOCHEM,NO REGULADO
GLUCOSAMINA EN COMBINACIONE,SOLIDO,GOOD`N NATURAL MANUFACTURING,NO REGULADO
GLUCOSAMINA EN COMBINACIONE,SOLIDO,BIOQUIFAR,NO REGULADO
GLUCOSAMINA EN COMBINACIONE,SOLIDO,QUIMICA PATRIC,NO REGULADO
GLUCOSAMINA EN COMBINACIONE,SOLIDO,NOVAMED,NO REGULADO
GLUCOSAMINA EN COMBINACIONE,SOLIDO,TECNOQUIMICAS,NO REGULADO
GLUCOSAMINA EN COMBINACIONE,SOLIDO,LA SANTE,NO REGULADO
GLUCOSAMINA EN COMBINACIONE,SOLIDO,GENFAR,NO REGULADO
GLUCOSAMINA EN COMBINACIONE,SOLIDO,COLMED,NO REGULADO
GLUCOSAMINA EN COMBINACIONE,SOLIDO,PROCAPS,NO REGULADO
GLUCOSAMINA EN COMBINACIONE,SOLIDO,INFABO,NO REGULADO
GLUCOSAMINA EN COMBINACIONE,SOLIDO,AMERICAN GENERICS,NO REGULADO
GLUCOSAMINA EN COMBINACIONE,SOLIDO,SYNTHESIS,NO REGULADO
GLUCOSAMINA EN COMBINACIONE,SOLIDO,SIEGFRIED,NO REGULADO
GLUCOSAMINA EN COMBINACIONE,SOLIDO,MONTE VERDE,NO REGULADO
GONADOTROPINA MENOPAÚSICA HUMAN,LIQUIDO/SOLIDO,LAFRANCOL,NO REGULADO
GONADOTROPINA MENOPAÚSICA HUMAN,LIQUIDO/SOLIDO,FERRING,NO REGULADO
GONADOTROPINA MENOPAÚSICA HUMAN,LIQUIDO/SOLIDO,IBSA INSTITUTO BIOCHEMIQUE,NO REGULADO
IBUPROFEN,LIQUIDO/SOLIDO,LIMINAL,NO REGULADO
IBUPROFEN,LIQUIDO/SOLIDO,RECORDATI RARE DISEASES,NO REGULADO
IBUPROFEN,LIQUIDO/SOLIDO,LASMA,NO REGULADO
INSULINA DEGLUDEC + LIRAGLUTID,LIQUIDO/SOLIDO,NOVO NORDISK,NO REGULADO
IRBESARTAN + AMLODIPIN,SOLIDO,MK,NO REGULADO
IRBESARTAN + AMLODIPIN,SOLIDO,SCANDINAVIA PHARMA,NO REGULADO
IRBESARTAN + AMLODIPIN,SOLIDO,CLOSTER PHARMA,NO REGULADO
IRBESARTAN + AMLODIPIN,SOLIDO,SANOFI AVENTIS,NO REGULADO
IRBESARTÁN + HIDROCLOROTIAZID,SOLIDO,HETERO,NO REGULADO
IRBESARTÁN + HIDROCLOROTIAZID,SOLIDO,GALENICUM HEALTH,NO REGULADO
IRBESARTÁN + HIDROCLOROTIAZID,SOLIDO,ALTADIS,NO REGULADO
IRBESARTÁN + HIDROCLOROTIAZID,SOLIDO,SIEGFRIED,NO REGULADO
IXAZOMI,SOLIDO,BAXALTA,NO REGULADO
LAMIVUDINA + ABACAVI,SOLIDO,CIPLA,NO REGULADO
LAMIVUDINA + ABACAVI,SOLIDO,HETERO,NO REGULADO
LAMIVUDINA + ABACAVI,SOLIDO,SALUSPHARMA,NO REGULADO
LAMIVUDINA + ABACAVI,SOLIDO,MYLAN,NO REGULADO
LAMIVUDINA + ABACAVI,SOLIDO,HUMAX,NO REGULADO
LAMIVUDINA + ABACAVI,SOLIDO,AUROBINDO,NO REGULADO
LAMIVUDINA + ABACAVI,SOLIDO,GLAXOSMITHKLINE,NO REGULADO
LAMIVUDINA + ABACAVIR + DOLUTEGRAVI,SOLIDO,GLAXOSMITHKLINE,NO REGULADO
LEVODOPA + CARBIDOPA + ENTECAPON,SOLIDO,HUMAX,NO REGULADO
LISDEXANFETAMIN,SOLIDO,BAXALTA,NO REGULADO
LISDEXANFETAMIN,SOLIDO,LAFRANCOL,NO REGULADO
LOSARTAN + AMLODIPIN,SOLIDO,SCANDINAVIA PHARMA,NO REGULADO
LOSARTAN + AMLODIPIN,SOLIDO,ANZG,NO REGULADO
LOSARTAN + AMLODIPIN,SOLIDO,MERCK SHARP DOME,NO REGULADO
LOSARTAN + AMLODIPIN,SOLIDO,FARMA,NO REGULADO
MARAVIRO,SOLIDO,GLAXOSMITHKLINE,NO REGULADO
MELFALA,LIQUIDO/SOLIDO,ASPEN,NO REGULADO
MELFALA,LIQUIDO/SOLIDO,ADVANCE SCIENTIFIC,NO REGULADO
MELFALA,LIQUIDO/SOLIDO,AUROBINDO,NO REGULADO
MELFALA,LIQUIDO/SOLIDO,HB HUMAN BIOSCIENCE,NO REGULADO
MELFALA,LIQUIDO/SOLIDO,AL PHARMA,NO REGULADO
MERCAPTOPURIN,SOLIDO,AL PHARMA,NO REGULADO
METILERGOMETRIN,LIQUIDO/SOLIDO,NOVARTIS,NO REGULADO
MIGALASTA,SOLIDO,PINT PHARMA,NO REGULADO
MITOMICIN,LIQUIDO/SOLIDO,PISA,NO REGULADO
MITOMICIN,LIQUIDO/SOLIDO,TUTEUR,NO REGULADO
MITOXANTRON,LIQUIDO/SOLIDO,BAXTER,NO REGULADO
MITOXANTRON,LIQUIDO/SOLIDO,BLAU,NO REGULADO
MITOXANTRON,LIQUIDO/SOLIDO,ROPSOHN,NO REGULADO
NATAMICIN,LIQUIDO,NOVARTIS,NO REGULADO
NEVIRAPIN,LIQUIDO,AUROBINDO,NO REGULADO
NEVIRAPIN,SOLIDO,CLINICOS Y HOSPITALARIOS,NO REGULADO
NEVIRAPIN,SOLIDO,HETERO,NO REGULADO
NEVIRAPIN,SOLIDO,HUMAX,NO REGULADO
NEVIRAPIN,SOLIDO,AUROBINDO,NO REGULADO
NEVIRAPIN,SOLIDO,PERCOS,NO REGULADO
NEVIRAPIN,SOLIDO,GRUFARMA,NO REGULADO
NEVIRAPIN,SOLIDO,CIPLA,NO REGULADO
OLANZAPIN,LIQUIDO/SOLIDO,ELI LILLY,NO REGULADO
OLANZAPIN,SOLIDO,HETERO,NO REGULADO
OLANZAPIN,SOLIDO,EUROFARMA,NO REGULADO
OLANZAPIN,SOLIDO,BRAINPHARMA,NO REGULADO
OLANZAPIN,SOLIDO,GALENICUM HEALTH,NO REGULADO
OLANZAPIN,SOLIDO,AMERICAN GENERICS,NO REGULADO
OLANZAPIN,SOLIDO,PINT PHARMA,NO REGULADO
OLANZAPIN,SOLIDO,SIEGFRIED,NO REGULADO
OLANZAPIN,SOLIDO,PROCAPS,NO REGULADO
OLANZAPIN,SOLIDO,SCANDINAVIA PHARMA,NO REGULADO
OLANZAPIN,SOLIDO,BLUEPHARMA,NO REGULADO
OLANZAPIN,SOLIDO,BUSSIÉ,NO REGULADO
L-ORNITINA-L-ASPARTAT,SOLIDO,MERZ PHARMACEUTICALS,NO REGULADO
PALONOSETRO,LIQUIDO/SOLIDO,HB HUMAN BIOSCIENCE,NO REGULADO
PALONOSETRO,LIQUIDO/SOLIDO,MSN LABORATORIES PRIVATE,NO REGULADO
PALONOSETRO,LIQUIDO/SOLIDO,CIPLA,NO REGULADO
PALONOSETRO,LIQUIDO/SOLIDO,MERCK SHARP DOME,NO REGULADO
PEGINTERFERON BETA,LIQUIDO/SOLIDO X 1,BIOGEN,NO REGULADO
PEGINTERFERON BETA,LIQUIDO/SOLIDO,BIOGEN,NO REGULADO
PERINDOPRIL + AMLODIPINO + INDAPAMID,SOLIDO,LES LABORATOIRES SERVIER,NO REGULADO
ROSUVASTATINA + EZETIMIB,SOLIDO,MK,NO REGULADO
ROSUVASTATINA + EZETIMIB,SOLIDO,SCANDINAVIA PHARMA,NO REGULADO
ROSUVASTATINA + EZETIMIB,SOLIDO,LAFRANCOL,NO REGULADO
SEVOFLURAN,LIQUIDO,ABBOTT  / ABBVIE,NO REGULADO
SEVOFLURAN,LIQUIDO,PIRAMAL CRITICAL CARE,NO REGULADO
SEVOFLURAN,LIQUIDO,BAXTER,NO REGULADO
TALIDOMID,SOLIDO,MONTE VERDE,NO REGULADO
TELMISARTÁN + AMLODIPIN,SOLIDO,PROCAPS,NO REGULADO
TELMISARTÁN + AMLODIPIN,SOLIDO,MK,NO REGULADO
TELMISARTÁN + AMLODIPIN,SOLIDO,SCANDINAVIA PHARMA,NO REGULADO
TELMISARTÁN + HIDROCLOROTIAZID,SOLIDO,GLENMARK,NO REGULADO
TELMISARTÁN + HIDROCLOROTIAZID,SOLIDO,HETERO,NO REGULADO
TELMISARTÁN + HIDROCLOROTIAZID,SOLIDO,PROCAPS,NO REGULADO
TELMISARTÁN + HIDROCLOROTIAZID,SOLIDO,SCANDINAVIA PHARMA,NO REGULADO
TERLIPRESIN,LIQUIDO/SOLIDO,EVER PHARMA,NO REGULADO
TETRABENAZIN,SOLIDO,AXON,NO REGULADO
VALSARTAN + AMLODIPIN,SOLIDO,AMERICAN GENERICS,NO REGULADO
VALSARTAN + AMLODIPIN,SOLIDO,SANOFI AVENTIS,NO REGULADO
VALSARTAN + AMLODIPIN,SOLIDO,CLOSTER PHARMA,NO REGULADO
VALSARTAN + AMLODIPIN,SOLIDO,SIEGFRIED,NO REGULADO
VALSARTAN + AMLODIPIN,SOLIDO,TECNOQUIMICAS,NO REGULADO
VALSARTAN + AMLODIPIN,SOLIDO,SCANDINAVIA PHARMA,NO REGULADO
VALSARTAN + AMLODIPIN,SOLIDO,LAFRANCOL,NO REGULADO
VALSARTAN + AMLODIPINO + HIDROCLOROTIAZID,SOLIDO,SYNTHESIS,NO REGULADO
VALSARTAN + AMLODIPINO + HIDROCLOROTIAZID,SOLIDO,SIEGFRIED,NO REGULADO
VALSARTAN + AMLODIPINO + HIDROCLOROTIAZID,SOLIDO,SCANDINAVIA PHARMA,NO REGULADO
VALSARTAN + AMLODIPINO + HIDROCLOROTIAZID,SOLIDO,LEGRAND,NO REGULADO
VALSARTAN + AMLODIPINO + HIDROCLOROTIAZID,SOLIDO,PROCAPS,NO REGULADO
VALSARTAN + AMLODIPINO + HIDROCLOROTIAZID,SOLIDO,LAFRANCOL,NO REGULADO
VINORELBIN,LIQUIDO/SOLIDO,PFMP,NO REGULADO
VINORELBIN,LIQUIDO/SOLIDO,CIPLA,NO REGULADO
PEGFILGRASTI,LIQUIDO/SOLIDO,MYLAN,NO REGULADO
PEGFILGRASTI,LIQUIDO/SOLIDO,DR REDDYS,NO REGULADO
PEGFILGRASTI,LIQUIDO/SOLIDO,LAFRANCOL,NO REGULADO
PEGFILGRASTI,LIQUIDO/SOLIDO,AMGEN,NO REGULADO
LOPINAVIR + RITONAVI,SOLIDO,ABBOTT  / ABBVIE,NO REGULADO
LEVOSIMENDA,LIQUIDO/SOLIDO,XINETIX PHARMA,NO REGULADO
LEVOSIMENDA,LIQUIDO/SOLIDO,FCV PHARMA,NO REGULADO
LEVOSIMENDA,LIQUIDO/SOLIDO,ADVENTUM PHARMA,NO REGULADO
LEVOSIMENDA,LIQUIDO/SOLIDO,ABBOTT  / ABBVIE,NO REGULADO
RIVAROXABAN ,SOLIDO,SANOFI AVENTIS,NO REGULADO
RIVAROXABAN ,SOLIDO,DR REDDY,NO REGULADO
TOXINA BOTULÍNICA CLOSTRIDUIM TIPO ,LIQUIDO/SOLIDO,HUMAX,NO REGULADO
TOXINA BOTULÍNICA CLOSTRIDUIM TIPO ,LIQUIDO/SOLIDO,MERZ PHARMACEUTICALS,NO REGULADO
TOXINA BOTULÍNICA CLOSTRIDUIM TIPO ,LIQUIDO/SOLIDO,SYNTHESIS,NO REGULADO
TOXINA BOTULÍNICA CLOSTRIDUIM TIPO ,LIQUIDO/SOLIDO,GLOBAL SKIN,NO REGULADO
VON WILLEBRAND FACTOR Y COAGULACIÓN FACTOR VIII EN COMBINACION - CON PROPORCIÓN DE FACTOR VIII SUPERIOR A LA DE FACTOR V,LIQUIDO/SOLIDO,BAXALTA,NO REGULADO
VON WILLEBRAND FACTOR Y COAGULACIÓN FACTOR VIII EN COMBINACION - CON PROPORCIÓN DE FACTOR VIII SUPERIOR A LA DE FACTOR V,LIQUIDO/SOLIDO,CSL,NO REGULADO
VON WILLEBRAND FACTOR Y COAGULACIÓN FACTOR VIII EN COMBINACION - CON PROPORCIÓN DE FACTOR VW SUPERIOR A LA DE FACTOR VII,LIQUIDO/SOLIDO,CSL,NO REGULADO
VON WILLEBRAND FACTOR Y COAGULACIÓN FACTOR VIII EN COMBINACION - CON PROPORCIÓN DE FACTOR VW SUPERIOR A LA DE FACTOR VII,LIQUIDO/SOLIDO,GRIFOLS,NO REGULADO
VON WILLEBRAND FACTOR Y COAGULACIÓN FACTOR VIII EN COMBINACION - CON PROPORCIÓN DE FACTOR VW SUPERIOR A LA DE FACTOR VII,LIQUIDO/SOLIDO,BPL,NO REGULADO
VON WILLEBRAND FACTOR Y COAGULACIÓN FACTOR VIII EN COMBINACION - CON PROPORCIÓN DE FACTOR VW IGUAL A LA DE FACTOR VII,LIQUIDO/SOLIDO,OCTAPHARMA,NO REGULADO
RITUXIMAB (INTRAVENOSA,LIQUIDO/SOLIDO,PFIZER,NO REGULADO
RITUXIMAB (INTRAVENOSA,LIQUIDO/SOLIDO,HETERO,NO REGULADO
RITUXIMAB (INTRAVENOSA,LIQUIDO/SOLIDO,LEGRAND,NO REGULADO
RITUXIMAB (INTRAVENOSA,LIQUIDO/SOLIDO,BIOTOSCANA,NO REGULADO
RITUXIMAB (INTRAVENOSA,LIQUIDO/SOLIDO,EXELTIS,NO REGULADO
RITUXIMAB (SUBCUTANEA,LIQUIDO/SOLIDO,ROCHE,NO REGULADO
TRASTUZUMA,SOLIDO,PFIZER,NO REGULADO
TRASTUZUMA,SOLIDO,LAFRANCOL,NO REGULADO
TRASTUZUMA,SOLIDO,MYLAN,NO REGULADO
TRASTUZUMA,LIQUIDO,ROCHE,NO REGULADO
LENALIDOMIDA ,SOLIDO,DR REDDY,NO REGULADO
LENALIDOMIDA ,SOLIDO,CIPLA,NO REGULADO
LENALIDOMIDA ,SOLIDO,LEGRAND,NO REGULADO
LENALIDOMIDA ,SOLIDO,LKM,NO REGULADO
EVEROLIMUS (ONCOLÓGIOCO,SOLIDO,LEGRAND,NO REGULADO
EVEROLIMUS (ONCOLÓGIOCO,SOLIDO,NOVARTIS,NO REGULADO
OXIBUTININ,SOLIDO,SALUSPHARMA,NO REGULADO
OXIBUTININ,SOLIDO,QUIRUPOS,NO REGULADO
OXIBUTININ,SOLIDO,BEST,NO REGULADO
OXIBUTININ,SOLIDO,TECNOQUIMICAS,NO REGULADO
OXIBUTININ,SOLIDO,LABORATORIOS ELEA PHOENIX,NO REGULADO
VENLAFAXIN,SOLIDO,SIEGFRIED,NO REGULADO
VENLAFAXIN,SOLIDO,TECNOQUIMICAS,NO REGULADO
VENLAFAXIN,SOLIDO,CALIER,NO REGULADO
VENLAFAXIN,SOLIDO,LA SANTE,NO REGULADO
VENLAFAXIN,SOLIDO,SANDOZ,NO REGULADO
VENLAFAXIN,SOLIDO,PINT PHARMA,NO REGULADO
INMUNOGLOBULINA HUMANA NORMAL (ADMIN. EXTRAVASCULAR,LIQUIDO/SOLIDO,CSL,NO REGULADO
INMUNOGLOBULINA HUMANA NORMAL (ADMIN. INTRAVASCULAR) (CON PROPORCIÓN DE IGG MAYOR AL,LIQUIDO/SOLIDO,BIOTEST,NO REGULADO
INMUNOGLOBULINA HUMANA NORMAL (ADMIN. EXTRAVASCULAR,LIQUIDO/SOLIDO,OCTAPHARMA,NO REGULADO
GEMCITABIN,LIQUIDO/SOLIDO,ELI LILLY,NO REGULADO
GEMCITABIN,LIQUIDO/SOLIDO,KEMEX,NO REGULADO
GEMCITABIN,LIQUIDO/SOLIDO,AL PHARMA,NO REGULADO
GEMCITABIN,LIQUIDO/SOLIDO,SANDOZ,NO REGULADO
GEMCITABIN,LIQUIDO/SOLIDO,LKM,NO REGULADO
GEMCITABIN,LIQUIDO/SOLIDO,CIPLA,NO REGULADO
GEMCITABIN,LIQUIDO/SOLIDO,SEVEN PHARMA,NO REGULADO
GEMCITABIN,LIQUIDO/SOLIDO,ROPSOHN,NO REGULADO
GEMCITABIN,LIQUIDO/SOLIDO,SCANDINAVIA PHARMA,NO REGULADO
GEMCITABIN,LIQUIDO/SOLIDO,PFIZER,NO REGULADO
GEMCITABIN,LIQUIDO/SOLIDO,PISA,NO REGULADO
GEMCITABIN,LIQUIDO/SOLIDO,HETERO,NO REGULADO
GEMCITABIN,LIQUIDO/SOLIDO,FRESENIUS,NO REGULADO
GEMCITABIN,LIQUIDO/SOLIDO,BLAU,NO REGULADO
GEMCITABIN,LIQUIDO/SOLIDO,UNIPHARM,NO REGULADO
GEMCITABIN,LIQUIDO/SOLIDO,CHALVER,NO REGULADO
GEMCITABIN,LIQUIDO/SOLIDO,FARMACEUTICA PARAGUAYA,NO REGULADO
GEMCITABIN,LIQUIDO/SOLIDO,VENUS,NO REGULADO
GEMCITABIN,LIQUIDO/SOLIDO,HEALTH NET,NO REGULADO
GEMCITABIN,LIQUIDO/SOLIDO,PROCAPS,NO REGULADO
GEMCITABIN,LIQUIDO/SOLIDO,RICHMOND,NO REGULADO
GEMCITABIN,LIQUIDO/SOLIDO,BIOTOSCANA,NO REGULADO
VORICONAZO,LIQUIDO/SOLIDO,SICMAFARMA,NO REGULADO
VORICONAZO,LIQUIDO/SOLIDO,ASPIRO PHARMA,NO REGULADO
VORICONAZO,LIQUIDO/SOLIDO,STEIN,NO REGULADO
VORICONAZO,LIQUIDO/SOLIDO,MSN LABORATORIES PRIVATE,NO REGULADO
VORICONAZO,LIQUIDO/SOLIDO,DR REDDYS,NO REGULADO
VORICONAZO,LIQUIDO/SOLIDO,LAFRANCOL,NO REGULADO
VORICONAZO,LIQUIDO/SOLIDO,XINETIX PHARMA,NO REGULADO
VORICONAZO,LIQUIDO/SOLIDO,FCV PHARMA,NO REGULADO
VORICONAZO,LIQUIDO/SOLIDO,PROCAPS,NO REGULADO
VORICONAZO,LIQUIDO/SOLIDO,BIOSPIFAR,NO REGULADO
VORICONAZO,LIQUIDO/SOLIDO,SETAA,NO REGULADO
VORICONAZO,LIQUIDO/SOLIDO,PFIZER,NO REGULADO
DOXORUBICINA LIPOSOMA,LIQUIDO/SOLIDO,FRESENIUS,NO REGULADO
DOXORUBICINA LIPOSOMA,LIQUIDO/SOLIDO,SUN PHARMACEUTICAL,NO REGULADO
DOXORUBICIN,LIQUIDO/SOLIDO,AL PHARMA,NO REGULADO
DOXORUBICIN,LIQUIDO/SOLIDO,CIPLA,NO REGULADO
DOXORUBICIN,LIQUIDO/SOLIDO,BLAU,NO REGULADO
DOXORUBICIN,LIQUIDO/SOLIDO,FRESENIUS,NO REGULADO
DOXORUBICIN,LIQUIDO/SOLIDO,PISA,NO REGULADO
DOXORUBICIN,LIQUIDO/SOLIDO,UNIPHARM,NO REGULADO
DOXORUBICIN,LIQUIDO/SOLIDO,BIOTOSCANA,NO REGULADO
IDARRUBICIN,LIQUIDO/SOLIDO,PFIZER,NO REGULADO
IDARRUBICIN,LIQUIDO/SOLIDO,BLAU,NO REGULADO
OXALIPLATIN,LIQUIDO/SOLIDO,SEVEN PHARMA,NO REGULADO
OXALIPLATIN,LIQUIDO/SOLIDO,CIPLA,NO REGULADO
OXALIPLATIN,LIQUIDO/SOLIDO,LKM,NO REGULADO
OXALIPLATIN,LIQUIDO/SOLIDO,PFIZER,NO REGULADO
OXALIPLATIN,LIQUIDO/SOLIDO,FRESENIUS,NO REGULADO
OXALIPLATIN,LIQUIDO,FRESENIUS,NO REGULADO
OXALIPLATIN,LIQUIDO/SOLIDO,UNIPHARM,NO REGULADO
OXALIPLATIN,LIQUIDO/SOLIDO,PISA,NO REGULADO
OXALIPLATIN,LIQUIDO/SOLIDO,BLAU,NO REGULADO
OXALIPLATIN,LIQUIDO/SOLIDO,SANOFI AVENTIS,NO REGULADO
ZOLEDRONICO ACID,LIQUIDO/SOLIDO,ARIS,NO REGULADO
ZOLEDRONICO ACID,LIQUIDO/SOLIDO,MYLAN,NO REGULADO
ZOLEDRONICO ACID,LIQUIDO/SOLIDO,SICMAFARMA,NO REGULADO
ZOLEDRONICO ACID,LIQUIDO/SOLIDO,ASPIRO PHARMA,NO REGULADO
ZOLEDRONICO ACID,LIQUIDO/SOLIDO,CIPLA,NO REGULADO
ZOLEDRONICO ACID,LIQUIDO/SOLIDO,HB HUMAN BIOSCIENCE,NO REGULADO
ZOLEDRONICO ACID,LIQUIDO/SOLIDO,PROCAPS,NO REGULADO
ZOLEDRONICO ACID,LIQUIDO/SOLIDO,PROCLIN,NO REGULADO
ZOLEDRONICO ACID,LIQUIDO/SOLIDO,LIOMONT,NO REGULADO
ZOLEDRONICO ACID,LIQUIDO/SOLIDO,SEVEN PHARMA,NO REGULADO
ZOLEDRONICO ACID,LIQUIDO/SOLIDO,COMERCIAL MEDICA,NO REGULADO
ZOLEDRONICO ACID,LIQUIDO/SOLIDO,SUN PHARMACEUTICAL,NO REGULADO
ZOLEDRONICO ACID,LIQUIDO/SOLIDO,UQUIFA,NO REGULADO
ZOLEDRONICO ACID,LIQUIDO/SOLIDO,PISA,NO REGULADO
ZOLEDRONICO ACID,LIQUIDO/SOLIDO,BLAU,NO REGULADO
ZOLEDRONICO ACID,LIQUIDO/SOLIDO,UNIPHARM,NO REGULADO
ZOLEDRONICO ACID,LIQUIDO/SOLIDO,VENUS,NO REGULADO
ZOLEDRONICO ACID,LIQUIDO/SOLIDO,CHALVER,NO REGULADO
INMUNOGLOBULINA HUMANA NORMAL (ADMIN. INTRAVASCULAR) (CON PROPORCIÓN DE IGG MAYOR AL,LIQUIDO/SOLIDO,BLAU,NO REGULADO
INMUNOGLOBULINA HUMANA NORMAL (ADMIN. INTRAVASCULAR) (CON PROPORCIÓN DE IGG MAYOR AL,LIQUIDO/SOLIDO,LFB,NO REGULADO
INMUNOGLOBULINA HUMANA NORMAL (ADMIN. INTRAVASCULAR) (CON PROPORCIÓN DE IGG MAYOR AL,LIQUIDO/SOLIDO,BAXTER,NO REGULADO
INMUNOGLOBULINA HUMANA NORMAL (ADMIN. INTRAVASCULAR) (CON PROPORCIÓN DE IGG MAYOR AL,LIQUIDO/SOLIDO,GRIFOLS,NO REGULADO
