NOMBRE DEL PRODUCTO FARMACÉUTIC,TIPO DE FÁRMACO,Nombre del laboratorio ofertante,Estado,Principio activo o asociación de principios activos,Tratamiento de larga duración
IBUPROFENO PHARMA COMBIX ,MEDICAMENTO GENERICO,"COMBIX, S.L.U",ALTA,IBUPROFENO,NO
IBUPROFENO MYLAN PHARMACEUTICALS ,MEDICAMENTO GENERICO,"VIATRIS PHARMACEUTICALS, S.L.U",ALTA,IBUPROFENO,NO
CLARITROMICINA UNIDIA TECNIGEN,MEDICAMENTO GENERICO,TECNIMEDE ESPAÑA INDUSTRIA FARMACEUTICA S.A.,BAJA POR NO COMERCIALIZAR,CLARITROMICINA CITRATO,NO
CANDESARTAN AUROVITAS SPAIN,MEDICAMENTO GENERICO,"AUROVITAS SPAIN, S.A.U",BAJA GENERAL,CANDESARTAN CILEXETILO,NO
GLUCOPOLIELECTROL BAXTER,MEDICAMENTO ETICA,BAXTER S.L.,BAJA GENERAL,"MAGNESIO CLORURO HEXAHIDRATO,SODIO CLORURO,GLUCOSA ANHIDRA,CALCIO CLORURO DIHIDRATO,ACETATO SODIO TRIHIDRATO,CLORURO DE POTASIO",NO
SUPREFACT DEPOT,MEDICAMENTO ETICA,RUBIO S.A.,ALTA,BUSERELINA ACETATO,NO
PANTOPRAZOL GEISER,MEDICAMENTO GENERICO,REIG JOFRE S.A.,BAJA GENERAL,PANTOPRAZOL SODICO,NO
NERDIPINA RETARD,MEDICAMENTO ETICA,FERRER INTERNACIONAL S.A.,ALTA,NICARDIPINO HIDROCLORURO,NO
TAMSULOSINA QUALIGEN,MEDICAMENTO GENERICO,"NEURAXPHARM SPAIN, S.L.U",ALTA,TAMSULOSINA HIDROCLORURO,NO
QUETIAPINA AUROVITAS SPAIN,MEDICAMENTO GENERICO,"AUROVITAS SPAIN, S.A.U",BAJA GENERAL,QUETIAPINA FUMARATO,NO
MONTELUKAST  NORMON,MEDICAMENTO GENERICO,NORMON S.A.,ALTA,MONTELUKAST SODICO,NO
CLOPIDOGREL UR,MEDICAMENTO GENERICO,"ARISTO PHARMA IBERIA, S.L.",BAJA POR NO COMERCIALIZAR,CLOPIDOGREL BESILATO,NO
CLOPIDOGREL UR,MEDICAMENTO GENERICO,"ARISTO PHARMA IBERIA, S.L.",ALTA,CLOPIDOGREL BESILATO,NO
DONEPEZILO FLAS VIATRIS PHARMACEUTICALS,MEDICAMENTO GENERICO,"VIATRIS PHARMACEUTICALS, S.L.U",ALTA,DONEPEZILO HIDROCLORURO,NO
GABAPENTINA ARISTO,MEDICAMENTO GENERICO,"ARISTO PHARMA IBERIA, S.L.",ALTA,GABAPENTINA,SI
GABAPENTINA ARISTO,MEDICAMENTO GENERICO,"ARISTO PHARMA IBERIA, S.L.",BAJA POR NO COMERCIALIZAR,GABAPENTINA,SI
TRAMADOL RETARD COMBIX,MEDICAMENTO GENERICO,"COMBIX, S.L.U",ALTA,TRAMADOL HIDROCLORURO,NO
LETROZOL COMBIX,MEDICAMENTO GENERICO,"COMBIX, S.L.U",ALTA,LETROZOL,NO
ACIDO ACETILSALICILICO CINFA,MEDICAMENTO GENERICO,CINFA S.A.,BAJA POR NO COMERCIALIZAR,ACETILSALICILICO ACIDO,SI
IDAPTAN,MEDICAMENTO ETICA,DANVAL S.A.,ALTA,TRIMETAZIDINA,NO
RISEDRONATO SEMANAL AUROVITAS PHARMA,MEDICAMENTO GENERICO,"AUROVITAS SPAIN, S.A.U",ALTA,RISEDRONATO SODIO,NO
ACIDO ACETILSALICILICO AUROVITAS SPAIN,MEDICAMENTO ETICA,"AUROVITAS SPAIN, S.A.U",ALTA,ACETILSALICILICO ACIDO,SI
MONTELUKAST UR,MEDICAMENTO GENERICO,"ARISTO PHARMA IBERIA, S.L.",ALTA,MONTELUKAST SODICO,NO
MONTELUKAST UR,MEDICAMENTO GENERICO,"ARISTO PHARMA IBERIA, S.L.",BAJA POR NO COMERCIALIZAR,MONTELUKAST SODICO,NO
TELMISARTAN STADA ,MEDICAMENTO GENERICO,"STADA, S.L",ALTA,TELMISARTAN,NO
TELMISARTAN STADA,MEDICAMENTO GENERICO,"STADA, S.L",ALTA,TELMISARTAN,NO
GEPEX,MEDICAMENTO GENERICO,"GP-PHARM,S.A",ALTA,EXEMESTANO,NO
IRBESARTAN ALMUS,MEDICAMENTO GENERICO,"ALMUS FARMACEUTICA, S.A.U.",ALTA,IRBESARTAN,NO
ACIDO IBANDRONICO RATIOPHARM,MEDICAMENTO GENERICO,"TEVA PHARMA, S.L.U",ALTA,IBANDRONICO ACIDO,NO
GALNORA,MEDICAMENTO GENERICO,KRKA D.D. NOVO MESTO,ALTA,GALANTAMINA HIDROBROMURO,NO
GALANTAMINA SANDOZ,MEDICAMENTO GENERICO,"SANDOZ FARMACEUTICA, S.A",ALTA,GALANTAMINA HIDROBROMURO,NO
DAIVONEX,MEDICAMENTO ETICA,"LEO PHARMA, S.A.",BAJA POR NO COMERCIALIZAR,CALCIPOTRIOL,NO
PRAVASTATINA PHARMA COMBIX,MEDICAMENTO GENERICO,"COMBIX, S.L.U",ALTA,PRAVASTATINA SODICA,SI
PRAVASTATINA PHARMA COMBIX,MEDICAMENTO GENERICO,"COMBIX, S.L.U",BAJA POR NO COMERCIALIZAR,PRAVASTATINA SODICA,SI
VASONASE RETARD,MEDICAMENTO ETICA,LABORATOIRE X.O,ALTA,NICARDIPINO HIDROCLORURO,NO
TRAMADOL/PARACETAMOL NORMON,MEDICAMENTO GENERICO,NORMON S.A.,ALTA,"TRAMADOL HIDROCLORURO,PARACETAMOL",NO
TRAMADOL/PARACETAMOL NORMON,MEDICAMENTO GENERICO,NORMON S.A.,ALTA,"PARACETAMOL,TRAMADOL HIDROCLORURO",NO
LEFLUNOMIDA NORMON,MEDICAMENTO GENERICO,NORMON S.A.,ALTA,LEFLUNOMIDA,NO
PAROXETINA PHARMA COMBIX,MEDICAMENTO GENERICO,"COMBIX, S.L.U",ALTA,PAROXETINA HIDROCLORURO HEMIHIDRATO,NO
GALANTAMINA KERN PHARMA,MEDICAMENTO GENERICO,"KERN PHARMA, S.L.",ALTA,GALANTAMINA HIDROBROMURO,NO
GALANTAMINA KERN PHARMA ,MEDICAMENTO GENERICO,"KERN PHARMA, S.L.",ALTA,GALANTAMINA HIDROBROMURO,NO
QUIRALAM,MEDICAMENTO ETICA,"GUIDOTTI FARMA, S.L.",BAJA GENERAL,DEXKETOPROFENO,NO
CLORAZEPATO NORMON ,MEDICAMENTO GENERICO,NORMON S.A.,ALTA,CLORAZEPATO DIPOTASIO,NO
INREQ,MEDICAMENTO GENERICO,"Q PHARMA, S.L.",ALTA,TAMSULOSINA HIDROCLORURO,NO
ZOLMITRIPTAN FLAS  STADA,MEDICAMENTO GENERICO,"STADA, S.L",ALTA,ZOLMITRIPTAN,NO
GALANTAMINA APOTEX,MEDICAMENTO GENERICO,"AUROVITAS SPAIN, S.A.U",BAJA POR NO COMERCIALIZAR,GALANTAMINA HIDROBROMURO,NO
GALANTAMINA APOTEX ,MEDICAMENTO GENERICO,"AUROVITAS SPAIN, S.A.U",BAJA POR NO COMERCIALIZAR,GALANTAMINA HIDROBROMURO,NO
ATORVASTATINA QUALIGEN,MEDICAMENTO GENERICO,"NEURAXPHARM SPAIN, S.L.U",BAJA GENERAL,ATORVASTATINA CALCICA,NO
ZOLMITRIPTAN FLAS QUALIGEN,MEDICAMENTO GENERICO,"NEURAXPHARM SPAIN, S.L.U",ALTA,ZOLMITRIPTAN,NO
ZOLMITRIPTAN FLAS RATIO,MEDICAMENTO GENERICO,"TEVA PHARMA, S.L.U",ALTA,ZOLMITRIPTAN,NO
ZOLMITRIPTAN FLAS PHARMAGENUS,MEDICAMENTO GENERICO,"ARISTO PHARMA IBERIA, S.L.",BAJA POR NO COMERCIALIZAR,ZOLMITRIPTAN,NO
ZOLMITRIPTAN FLAS PHARMAGENUS,MEDICAMENTO GENERICO,"ARISTO PHARMA IBERIA, S.L.",ALTA,ZOLMITRIPTAN,NO
ZOLMITRIPTAN FLAS CINFA,MEDICAMENTO GENERICO,CINFA S.A.,ALTA,ZOLMITRIPTAN,NO
SERTRALINA PHARMA COMBIX,MEDICAMENTO GENERICO,"COMBIX, S.L.U",ALTA,SERTRALINA HIDROCLORURO,NO
LETROZOL APOTEX AG,MEDICAMENTO GENERICO,"AUROVITAS SPAIN, S.A.U",BAJA GENERAL,LETROZOL,NO
APO-GO PFS,MEDICAMENTO ETICA,ITALFARMACO S.A.,ALTA,APOMORFINA HIDROCLORURO,NO
ACIDO IBANDRONICO CINFA,MEDICAMENTO GENERICO,CINFA S.A.,ALTA,IBANDRONICO ACIDO,NO
METFORMINA VIR,MEDICAMENTO GENERICO,"INDUSTRIA  QUIMICA Y FARMACEUTICA  VIR, S.A.",ALTA,METFORMINA HIDROCLORURO,NO
TRAMADOL/ PARACETAMOL KERN PHARMA,MEDICAMENTO GENERICO,"KERN PHARMA, S.L.",ALTA,"PARACETAMOL,TRAMADOL HIDROCLORURO",NO
TRAMADOL/ PARACETAMOL KERN PHARMA,MEDICAMENTO GENERICO,"KERN PHARMA, S.L.",ALTA,"TRAMADOL HIDROCLORURO,PARACETAMOL",NO
LERCANIDIPINO MYLAN,MEDICAMENTO GENERICO,"VIATRIS PHARMACEUTICALS, S.L.U",BAJA GENERAL,LERCANIDIPINO HIDROCLORURO,NO
CLOXACILINA NORMON,MEDICAMENTO GENERICO,NORMON S.A.,ALTA,CLOXACILINA SODICA,NO
RISEDRONATO ACCORDPHARMA,MEDICAMENTO GENERICO,"ACCORD HEALTHCARE, S.L.U",BAJA GENERAL,RISEDRONATO SODIO,NO
ESCITALOPRAM AMNEA,MEDICAMENTO GENERICO,"ARISTO PHARMA IBERIA, S.L.",BAJA GENERAL,ESCITALOPRAM OXALATO,NO
ARALTER,MEDICAMENTO GENERICO,ALTER S.A.,BAJA POR NO COMERCIALIZAR,VALSARTAN,NO
ESCITALOPRAM AMNEAL,MEDICAMENTO GENERICO,"ARISTO PHARMA IBERIA, S.L.",BAJA GENERAL,ESCITALOPRAM OXALATO,NO
LIMOVAN,MEDICAMENTO ETICA,"SANOFI AVENTIS, S.A",ALTA,ZOPICLONA,NO
GLICLAZIDA TECNIGEN,MEDICAMENTO GENERICO,TECNIMEDE ESPAÑA INDUSTRIA FARMACEUTICA S.A.,BAJA GENERAL,GLICLAZIDA,SI
SOMATULINA,MEDICAMENTO ETICA,"IPSEN PHARMA, S.A.",BAJA GENERAL,LANREOTIDA ACETATO,NO
CAVERJECT,MEDICAMENTO ETICA,"PFIZER, S.L",ALTA,ALPROSTADIL,NO
QUETIAPINA ARISTO,MEDICAMENTO GENERICO,"ARISTO PHARMA IBERIA, S.L.",ALTA,QUETIAPINA FUMARATO,NO
VALSARTAN/HIDROCLOROTIAZIDA MABO,MEDICAMENTO GENERICO,"MABO-FARMA, S.A.",SUSPENSION TEMPORAL GENERAL,"VALSARTAN,HIDROCLOROTIAZIDA",NO
VALSARTAN/HIDROCLOROTIAZIDA MABO,MEDICAMENTO GENERICO,"MABO-FARMA, S.A.",SUSPENSION TEMPORAL GENERAL,"HIDROCLOROTIAZIDA,VALSARTAN",NO
VALSARTAN ALTER,MEDICAMENTO GENERICO,ALTER S.A.,ALTA,VALSARTAN,NO
VALSARTAN HIDROCLOROTIAZIDA ALTER,MEDICAMENTO GENERICO,ALTER S.A.,ALTA,"VALSARTAN,HIDROCLOROTIAZIDA",NO
VALSARTAN HIDROCLOROTIAZIDA ALTER,MEDICAMENTO GENERICO,ALTER S.A.,ALTA,"HIDROCLOROTIAZIDA,VALSARTAN",NO
OXCARBAZEPINA TECNIGEN,MEDICAMENTO GENERICO,TECNIMEDE ESPAÑA INDUSTRIA FARMACEUTICA S.A.,ALTA,OXCARBAZEPINA,NO
LANSOPRAZOL VIATRIS,MEDICAMENTO GENERICO,"VIATRIS PHARMACEUTICALS, S.L.U",ALTA,LANSOPRAZOL,NO
DONEPEZILO FLAS COMBIX,MEDICAMENTO GENERICO,"COMBIX, S.L.U",BAJA GENERAL,DONEPEZILO HIDROCLORURO,NO
TAMSULOSINA RATIOPHARM,MEDICAMENTO GENERICO,"TEVA PHARMA, S.L.U",ALTA,TAMSULOSINA HIDROCLORURO,NO
RISEDRONATO SEMANAL TECNIGEN,MEDICAMENTO GENERICO,TECNIMEDE ESPAÑA INDUSTRIA FARMACEUTICA S.A.,ALTA,RISEDRONATO SODIO,NO
ACICLOVIR PENSA,MEDICAMENTO GENERICO,"TOWA PHARMACEUTICAL, S.A.",BAJA POR NO COMERCIALIZAR,ACICLOVIR,NO
TRAMADOL/PARACETAMOL RATIOPHARM,MEDICAMENTO GENERICO,"TEVA PHARMA, S.L.U",ALTA,"TRAMADOL HIDROCLORURO,PARACETAMOL",NO
EXEMESTANO MYLAN PHARMACEUTICALS,MEDICAMENTO GENERICO,"VIATRIS PHARMACEUTICALS, S.L.U",ALTA,EXEMESTANO,NO
LATANOPROST/TIMOLOL SANDOZ,MEDICAMENTO ETICA,"SANDOZ FARMACEUTICA, S.A",BAJA GENERAL,"TIMOLOL MALEATO,LATANOPROST",NO
TRAMADOL/PARACETAMOL DAVUR,MEDICAMENTO GENERICO,"DAVUR, S.L.",BAJA GENERAL,"PARACETAMOL,TRAMADOL HIDROCLORURO",NO
ESCITALOPRAM RATIO ,MEDICAMENTO GENERICO,"TEVA PHARMA, S.L.U",ALTA,ESCITALOPRAM OXALATO,NO
ESCITALOPRAM RATIO,MEDICAMENTO GENERICO,"TEVA PHARMA, S.L.U",ALTA,ESCITALOPRAM OXALATO,NO
METILPREDNISOLONA NORMON,MEDICAMENTO GENERICO,NORMON S.A.,ALTA,METILPREDNISOLONA,NO
METFORMINA QUALIGEN,MEDICAMENTO GENERICO,"NEURAXPHARM SPAIN, S.L.U",BAJA POR NO COMERCIALIZAR,METFORMINA HIDROCLORURO,NO
DANATROL,MEDICAMENTO ETICA,"SANOFI AVENTIS, S.A",ALTA,DANAZOL,NO
PRAVASTATINA RATIOMED,MEDICAMENTO GENERICO,"TEVA PHARMA, S.L.U",ALTA,PRAVASTATINA SODICA,SI
PRAVASTATINA RATIOMED,MEDICAMENTO GENERICO,TEVA PHARMA B.V.,ALTA,PRAVASTATINA SODICA,SI
CLOPIXOL ACUFASE,MEDICAMENTO ETICA,LUNDBECK ESPAÑA S.A.,ALTA,ZUCLOPENTIXOL ACETATO,NO
CLOPIXOL DEPOT,MEDICAMENTO ETICA,LUNDBECK ESPAÑA S.A.,ALTA,ZUCLOPENTIXOL DECANOATO,NO
ROPINIROL KRKA,MEDICAMENTO GENERICO,KRKA D.D. NOVO MESTO,ALTA,ROPINIROL HIDROCLORURO,NO
CLOPIXOL,MEDICAMENTO ETICA,LUNDBECK ESPAÑA S.A.,ALTA,ZUCLOPENTIXOL DIHIDROCLORURO,NO
CLOPIXOL GOTAS,MEDICAMENTO ETICA,LUNDBECK ESPAÑA S.A.,ALTA,ZUCLOPENTIXOL DIHIDROCLORURO,NO
MICOFENOLATO DE MOFETILO KERN PHARMA,MEDICAMENTO GENERICO,"KERN PHARMA, S.L.",ALTA,MICOFENOLATO DE MOFETILO,NO
LOSARTAN/HIDROCLOROTIAZIDA TEVA,MEDICAMENTO ETICA,"TEVA PHARMA, S.L.U",ALTA,"LOSARTAN POTASICO,HIDROCLOROTIAZIDA",NO
MOXIFLOXACINO SANDOZ,MEDICAMENTO GENERICO,"SANDOZ FARMACEUTICA, S.A",ALTA,MOXIFLOXACINO HIDROCLORURO,NO
OCTREOTIDA SUN,MEDICAMENTO GENERICO,"SUN PHARMA LABORATORIOS, S.L",ALTA,OCTREOTIDA,NO
RISEDRONATO ACCORD HEALTHCARE,MEDICAMENTO GENERICO,"ACCORD HEALTHCARE, S.L.U",BAJA GENERAL,RISEDRONATO SODIO,NO
PROGEVERA,MEDICAMENTO ETICA,"PFIZER, S.L",ALTA,MEDROXIPROGESTERONA ACETATO,SI
DONEPEZILO UR,MEDICAMENTO GENERICO,"ARISTO PHARMA IBERIA, S.L.",ALTA,DONEPEZILO HIDROCLORURO,NO
DONEPEZILO  UR ,MEDICAMENTO GENERICO,"ARISTO PHARMA IBERIA, S.L.",ALTA,DONEPEZILO HIDROCLORURO,NO
DORZOLAMIDA/TIMOLOL STADA,MEDICAMENTO ETICA,"STADA, S.L",ALTA,"TIMOLOL MALEATO,DORZOLAMIDA HIDROCLORURO",NO
GALANTAMINA AUROVITAS,MEDICAMENTO GENERICO,"AUROVITAS SPAIN, S.A.U",BAJA GENERAL,GALANTAMINA HIDROBROMURO,NO
AMOROLFINA TEVA,MEDICAMENTO ETICA,"TEVA PHARMA, S.L.U",ALTA,AMOROLFINA HIDROCLORURO,NO
INDAPAMIDA RETARD TEVAGEN,MEDICAMENTO GENERICO,"TEVA PHARMA, S.L.U",ALTA,INDAPAMIDA,SI
ACIDO IBANDRONICO NORMON,MEDICAMENTO GENERICO,NORMON S.A.,ALTA,IBANDRONICO ACIDO,NO
ACIDO IBANDRONICO VIR,MEDICAMENTO GENERICO,"INDUSTRIA  QUIMICA Y FARMACEUTICA  VIR, S.A.",ALTA,IBANDRONICO ACIDO,NO
ACIDO IBANDRONICO STADA,MEDICAMENTO GENERICO,"STADA, S.L",ALTA,IBANDRONICO ACIDO,NO
CANDESARTAN STADA,MEDICAMENTO GENERICO,"STADA, S.L",ALTA,CANDESARTAN CILEXETILO,NO
CANDESARTAN  STADA,MEDICAMENTO GENERICO,"STADA, S.L",ALTA,CANDESARTAN CILEXETILO,NO
CANDESARTAN/HIDROCLOROTIAZIDA STADA,MEDICAMENTO GENERICO,"STADA, S.L",ALTA,"CANDESARTAN CILEXETILO,HIDROCLOROTIAZIDA",NO
TRAMADOL PARACETAMOL CINFA,MEDICAMENTO GENERICO,CINFA S.A.,ALTA,"TRAMADOL HIDROCLORURO,PARACETAMOL",NO
TRAMADOL PARACETAMOL CINFA,MEDICAMENTO GENERICO,CINFA S.A.,ALTA,"PARACETAMOL,TRAMADOL HIDROCLORURO",NO
ACECLOFENACO VIR,MEDICAMENTO GENERICO,"INDUSTRIA  QUIMICA Y FARMACEUTICA  VIR, S.A.",ALTA,ACECLOFENACO,NO
HIDROSALURETIL,MEDICAMENTO GENERICO,"CHIESI ESPAÑA, S.A.U.",ALTA,HIDROCLOROTIAZIDA,SI
ROLPRYNA SR,MEDICAMENTO GENERICO,KRKA D.D. NOVO MESTO,ALTA,ROPINIROL HIDROCLORURO,NO
ROPINIROL TEVA,MEDICAMENTO GENERICO,"TEVA PHARMA, S.L.U",ALTA,ROPINIROL HIDROCLORURO,NO
IBUPROFENO FARMALID,MEDICAMENTO GENERICO,FARMALIDER S.A.,ALTA,IBUPROFENO,NO
IBUPROFENO CODRAMOL ,MEDICAMENTO GENERICO,FARMALIDER S.A.,ALTA,IBUPROFENO,NO
RIZATRIPTAN TEVA,MEDICAMENTO GENERICO,"TEVA PHARMA, S.L.U",BAJA POR NO COMERCIALIZAR,RIZATRIPTAN BENZOATO,NO
RIZATRIPTAN TEVA,MEDICAMENTO GENERICO,"TEVA PHARMA, S.L.U",ALTA,RIZATRIPTAN BENZOATO,NO
TOPIRAMATO ARISTO,MEDICAMENTO GENERICO,"ARISTO PHARMA IBERIA, S.L.",ALTA,TOPIRAMATO,NO
REPAGLINIDA EDIGEN,MEDICAMENTO GENERICO,"ARISTO PHARMA IBERIA, S.L.",BAJA GENERAL,REPAGLINIDA,NO
MICLAST,MEDICAMENTO ETICA,PIERRE FABRE IBERICA S.A.,ALTA,CICLOPIROX,NO
MANERIX,MEDICAMENTO ETICA,"VIATRIS PHARMACEUTICALS, S.L.U",ALTA,MOCLOBEMIDA,NO
ATORIS,MEDICAMENTO ETICA,KRKA D.D. NOVO MESTO,ALTA,ATORVASTATINA CALCICA,NO
LESCOL,MEDICAMENTO ETICA,NOVARTIS FARMACEUTICA S.A.,BAJA GENERAL,FLUVASTATINA SODICA,SI
ATORIS,MEDICAMENTO GENERICO,KRKA D.D. NOVO MESTO,ALTA,ATORVASTATINA CALCICA,NO
GALANTAMINA VIATRIS,MEDICAMENTO GENERICO,"VIATRIS PHARMACEUTICALS, S.L.U",ALTA,GALANTAMINA HIDROBROMURO,NO
UNI MASDIL,MEDICAMENTO ETICA,"ESTEVE PHARMACEUTICALS, S.A.",ALTA,DILTIAZEM HIDROCLORURO,SI
DORZOLAMIDA TIMOLOL MYLAN ,MEDICAMENTO ETICA,"VIATRIS PHARMACEUTICALS, S.L.U",ALTA,"TIMOLOL MALEATO,DORZOLAMIDA HIDROCLORURO",NO
DURACEF,MEDICAMENTO ETICA,"EXELTIS HEALTHCARE, S.L.",ALTA,CEFADROXILO MONOHIDRATO,NO
LEVOFLOXACINO ACCORD,MEDICAMENTO GENERICO,"ACCORD HEALTHCARE, S.L.U",ALTA,LEVOFLOXACINO HEMIHIDRATO,NO
TRAJENTA,MEDICAMENTO ETICA,"BOEHRINGER INGELHEIM ESPAÑA, S.A.",ALTA,LINAGLIPTINA,NO
LOSARTAN /HIDROCLOROTIAZIDA ARISTOGEN,MEDICAMENTO GENERICO,"ARISTO PHARMA IBERIA, S.L.",BAJA GENERAL,"HIDROCLOROTIAZIDA,LOSARTAN POTASICO",NO
LOSARTAN /HIDROCLOROTIAZIDA ARISTOGEN,MEDICAMENTO GENERICO,"ARISTO PHARMA IBERIA, S.L.",BAJA GENERAL,"LOSARTAN POTASICO,HIDROCLOROTIAZIDA",NO
ISODIUR,MEDICAMENTO ETICA,ITALFARMACO S.A.,ALTA,TORASEMIDA,SI
RISEDRONATO SEMANAL ALMUS,MEDICAMENTO GENERICO,"ALMUS FARMACEUTICA, S.A.U.",SUSPENSION TEMPORAL GENERAL,RISEDRONATO SODIO,NO
VALACICLOVIR ALMUS,MEDICAMENTO GENERICO,"ALMUS FARMACEUTICA, S.A.U.",ALTA,VALACICLOVIR  HIDROCLORURO,NO
VALACICLOVIR ALMUS,MEDICAMENTO GENERICO,"ALMUS FARMACEUTICA, S.A.U.",BAJA POR NO COMERCIALIZAR,VALACICLOVIR  HIDROCLORURO,NO
ISODIUR HTA,MEDICAMENTO ETICA,ITALFARMACO S.A.,ALTA,TORASEMIDA,SI
VALACICLOVIR TECNIGEN,MEDICAMENTO GENERICO,TECNIMEDE ESPAÑA INDUSTRIA FARMACEUTICA S.A.,BAJA POR NO COMERCIALIZAR,VALACICLOVIR  HIDROCLORURO,NO
VALACICLOVIR TECNIGEN,MEDICAMENTO GENERICO,TECNIMEDE ESPAÑA INDUSTRIA FARMACEUTICA S.A.,ALTA,VALACICLOVIR  HIDROCLORURO,NO
MONTELUKAST ACCORD,MEDICAMENTO GENERICO,"ACCORD HEALTHCARE, S.L.U",BAJA POR NO COMERCIALIZAR,MONTELUKAST SODICO,NO
RIZATRIPTAN SANDOZ,MEDICAMENTO GENERICO,"SANDOZ FARMACEUTICA, S.A",ALTA,RIZATRIPTAN BENZOATO,NO
ACITRETINA IFC,MEDICAMENTO GENERICO,IND. FTCA. CANTABRIA S.A.,ALTA,ACITRETINA,NO
PERINDOPRIL/INDAPAMIDA STADA,MEDICAMENTO GENERICO,"STADA, S.L",ALTA,"PERINDOPRIL ERBUMINA,INDAPAMIDA",NO
ROSUVASTATINA RATIOPHARM,MEDICAMENTO GENERICO,"TEVA PHARMA, S.L.U",ALTA,ROSUVASTATINA  CALCICA,SI
DICLOFENACO-LEPORI,MEDICAMENTO ETICA,"ANGELINI PHARMA ESPAÑA,S.L",ALTA,DICLOFENACO SODICO,NO
MAYGACE ALTAS DOSIS,MEDICAMENTO ETICA,"BAUSCH AND LOMB, S.A",ALTA,MEGESTROL ACETATO,NO
GELISTROL,MEDICAMENTO ETICA,"EFFIK, S.A.",BAJA EXCLUSION FINANCIACION INDIVIDUALIZADA,ESTRIOL,NO
BLISSEL,MEDICAMENTO ETICA,ITALFARMACO S.A.,ALTA,ESTRIOL,NO
PARACETAMOL TARBIS,MEDICAMENTO GENERICO,"TARBIS FARMA, S.L.",BAJA GENERAL,PARACETAMOL,NO
ATROLAK PROLONG,MEDICAMENTO GENERICO,"ACCORD HEALTHCARE, S.L.U",BAJA POR NO COMERCIALIZAR,QUETIAPINA FUMARATO,NO
ATROLAK PROLONG,MEDICAMENTO GENERICO,"ACCORD HEALTHCARE, S.L.U",ALTA,QUETIAPINA FUMARATO,NO
RIZATRIPTAN MAX MYLAN,MEDICAMENTO GENERICO,"VIATRIS PHARMACEUTICALS, S.L.U",ALTA,RIZATRIPTAN BENZOATO,NO
RABEPRAZOL ALTER,MEDICAMENTO GENERICO,ALTER S.A.,ALTA,RABEPRAZOL SODICO,NO
LEVETIRACETAM RATIOPHARM,MEDICAMENTO GENERICO,"TEVA PHARMA, S.L.U",ALTA,LEVETIRACETAM,NO
CANDESARTAN NORMON,MEDICAMENTO GENERICO,NORMON S.A.,ALTA,CANDESARTAN CILEXETILO,NO
LEVETIRACETAM TEVA,MEDICAMENTO GENERICO,"TEVA PHARMA, S.L.U",ALTA,LEVETIRACETAM,NO
LEVETIRACETAM KERN PHARMA,MEDICAMENTO GENERICO,"KERN PHARMA, S.L.",ALTA,LEVETIRACETAM,NO
LEVETIRACETAM ARISTOGEN,MEDICAMENTO GENERICO,"ARISTO PHARMA IBERIA, S.L.",ALTA,LEVETIRACETAM,NO
LATANOPROST/TIMOLOL STADA,MEDICAMENTO ETICA,"STADA, S.L",ALTA,"TIMOLOL MALEATO,LATANOPROST",NO
ALLENDA,MEDICAMENTO GENERICO,"DEVON FARMACEUTICA, S.A.",ALTA,LETROZOL,NO
IRBESARTAN/HIDROCLOROTIAZIDA TECNIGEN,MEDICAMENTO GENERICO,TECNIMEDE ESPAÑA INDUSTRIA FARMACEUTICA S.A.,ALTA,"HIDROCLOROTIAZIDA,IRBESARTAN",NO
IRBESARTAN/HIDROCLOROTIAZIDA TECNIGEN,MEDICAMENTO GENERICO,TECNIMEDE ESPAÑA INDUSTRIA FARMACEUTICA S.A.,ALTA,"IRBESARTAN,HIDROCLOROTIAZIDA",NO
PERINDOPRIL AUROVITAS,MEDICAMENTO GENERICO,"AUROVITAS SPAIN, S.A.U",ALTA,PERINDOPRIL ERBUMINA,SI
ESCITALOPRAM COMBIX,MEDICAMENTO GENERICO,"COMBIX, S.L.U",ALTA,ESCITALOPRAM OXALATO,NO
OLANZAPINA CODRAMOL,MEDICAMENTO GENERICO,FARMALIDER S.A.,SUSPENSION TEMPORAL GENERAL,OLANZAPINA,NO
OLANZAPINA CODRAMO,MEDICAMENTO GENERICO,FARMALIDER S.A.,SUSPENSION TEMPORAL GENERAL,OLANZAPINA,NO
BETAHISTINA CINFA,MEDICAMENTO GENERICO,CINFA S.A.,ALTA,BETAHISTINA DIHIDROCLORURO,NO
ROYEN,MEDICAMENTO ETICA,RUBIO S.A.,ALTA,ACETATO CALCIO,NO
LISINOPRIL MYLAN PHARMACEUTICALS,MEDICAMENTO GENERICO,"VIATRIS PHARMACEUTICALS, S.L.U",BAJA GENERAL,LISINOPRIL DIHIDRATO,SI
ESCITALOPRAM TECNIGEN,MEDICAMENTO GENERICO,TECNIMEDE ESPAÑA INDUSTRIA FARMACEUTICA S.A.,ALTA,ESCITALOPRAM OXALATO,NO
BENESTAN RETARD,MEDICAMENTO ETICA,"SANOFI AVENTIS, S.A",ALTA,ALFUZOSINA HIDROCLORURO,NO
ESCITALOPRAM TECNIGEN ,MEDICAMENTO GENERICO,TECNIMEDE ESPAÑA INDUSTRIA FARMACEUTICA S.A.,ALTA,ESCITALOPRAM OXALATO,NO
LATANOPROST QUALIGEN,MEDICAMENTO ETICA,"NEURAXPHARM SPAIN, S.L.U",ALTA,LATANOPROST,NO
